Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM
-1.21011,0.303315,0.28377,0.331589,0.311441,0.280284,0.282275,0.28401,0.31157,0.292102,0.281385,0.290809,0.25554,0.264893,0.270076,0.280644,0.275962,0.270953,0.278623,0.28157,0.280434,0.282854,0.289461,0.261068,0.295887,0.309348,0.262705,0.281985,0.304377,0.279435
-0.71011,0.29663,0.27799,0.331041,0.309037,0.276244,0.281065,0.280307,0.307923,0.291453,0.279254,0.291021,0.255318,0.266863,0.270603,0.28063,0.279789,0.270249,0.275574,0.278044,0.279799,0.27754,0.288799,0.263414,0.29465,0.308695,0.25775,0.277892,0.301978,0.282297
-0.21011,0.294068,0.27555,0.334354,0.309313,0.280847,0.284063,0.281833,0.308088,0.294629,0.27948,0.291248,0.255712,0.269718,0.272946,0.279331,0.281857,0.273322,0.27649,0.279532,0.281109,0.277567,0.290373,0.265781,0.299723,0.312394,0.25635,0.27495,0.300474,0.287608
0.28989,0.29916,0.279534,0.342449,0.314586,0.293861,0.291133,0.289632,0.315285,0.302264,0.282628,0.294394,0.258348,0.274118,0.27742,0.279288,0.284229,0.281381,0.282592,0.287288,0.284788,0.284945,0.295273,0.269011,0.310223,0.320118,0.261415,0.277695,0.302418,0.295855
0.78989,0.309682,0.287858,0.349726,0.322979,0.309376,0.299087,0.298514,0.325144,0.310229,0.287737,0.298298,0.261251,0.27735,0.284338,0.279759,0.285106,0.288994,0.29101,0.296386,0.288686,0.296491,0.301289,0.27285,0.322003,0.327977,0.270166,0.284355,0.305297,0.303352
1.28989,0.31987,0.295388,0.35047,0.32972,0.321036,0.303732,0.302874,0.330897,0.313792,0.291799,0.30072,0.261551,0.276362,0.29228,0.278171,0.282111,0.290731,0.296109,0.301612,0.291022,0.305906,0.305098,0.275933,0.331359,0.332988,0.27782,0.289535,0.305355,0.306602
1.78989,0.324648,0.298392,0.344811,0.332329,0.327912,0.303342,0.301117,0.328597,0.312258,0.292371,0.29893,0.259193,0.272053,0.299754,0.273869,0.276084,0.285524,0.294618,0.299726,0.291947,0.309387,0.304691,0.277195,0.336849,0.335001,0.281376,0.290671,0.30223,0.307125
2.28989,0.322282,0.297493,0.336153,0.330159,0.332423,0.298251,0.296204,0.319996,0.3086,0.289068,0.292942,0.255327,0.267267,0.304232,0.268094,0.269955,0.276388,0.287537,0.291307,0.291832,0.306424,0.301162,0.27581,0.338363,0.334621,0.280576,0.288188,0.297875,0.307051
2.78989,0.316934,0.295859,0.329074,0.326047,0.338409,0.291434,0.293253,0.310021,0.306639,0.284884,0.286665,0.252823,0.264627,0.306718,0.263402,0.266646,0.268917,0.27952,0.28172,0.292591,0.300663,0.298144,0.274261,0.338654,0.333199,0.2801,0.286804,0.296473,0.308613
3.28989,0.313712,0.29614,0.32544,0.322632,0.345984,0.28664,0.294762,0.302767,0.308363,0.283106,0.282734,0.252533,0.265132,0.309673,0.261967,0.267324,0.265803,0.27412,0.275477,0.295082,0.297005,0.298732,0.275015,0.339296,0.331981,0.283355,0.290597,0.30072,0.312211
3.78989,0.314838,0.297552,0.323868,0.320051,0.351346,0.283755,0.299531,0.298165,0.31166,0.283802,0.281209,0.25252,0.266782,0.312318,0.263499,0.269835,0.266618,0.271689,0.273936,0.298224,0.296551,0.302367,0.277518,0.339573,0.331559,0.289452,0.298085,0.308019,0.315768
