Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
1.19588,0.232737,0.284058,0.26679,0.252337,0.196385,0.238761,0.288846,0.206616,0.265376,0.245918,0.261175,0.192151,0.214223,0.184705,0.207314,0.233706,0.234927,0.237114,0.254038,0.213082,0.224038,0.199212,0.249938,0.246408,0.187818,0.193903,0.224763,0.238172,0.216491,0.199035,0.240133,0.215519,0.193166,0.207578
1.69588,0.21523,0.261437,0.240579,0.254376,0.182097,0.222768,0.262135,0.194276,0.251414,0.244815,0.247906,0.170801,0.198572,0.169823,0.192238,0.20638,0.213457,0.222635,0.235616,0.200918,0.219616,0.171919,0.236621,0.241268,0.183078,0.174232,0.208701,0.223993,0.205567,0.176061,0.221652,0.199127,0.182941,0.184491
2.19588,0.196003,0.228899,0.21027,0.254483,0.170151,0.203355,0.23181,0.183521,0.234866,0.23986,0.232336,0.151757,0.180837,0.158122,0.177604,0.177244,0.190382,0.20271,0.214422,0.189492,0.216323,0.149471,0.223767,0.230785,0.183164,0.157158,0.190446,0.207466,0.193794,0.15509,0.202723,0.182013,0.169576,0.160892
2.69588,0.17848,0.194797,0.182766,0.249167,0.162195,0.186648,0.205289,0.178451,0.215081,0.230192,0.212401,0.139739,0.16791,0.150419,0.165805,0.152196,0.170765,0.182009,0.193819,0.180584,0.211375,0.137637,0.211292,0.213465,0.186034,0.147986,0.173441,0.192285,0.183833,0.139906,0.186191,0.168085,0.155405,0.143817
3.19588,0.167558,0.170641,0.165121,0.238037,0.160129,0.17883,0.189184,0.180932,0.194548,0.217234,0.189732,0.137546,0.167135,0.146408,0.160078,0.137402,0.159273,0.16699,0.178423,0.173696,0.202563,0.138901,0.200114,0.19431,0.188341,0.148025,0.162921,0.182668,0.180095,0.133504,0.174725,0.161457,0.14457,0.139763
3.69588,0.166435,0.164123,0.160464,0.224639,0.164813,0.181236,0.186422,0.190449,0.177196,0.204676,0.170759,0.144529,0.180906,0.147472,0.161564,0.135816,0.157258,0.161738,0.172373,0.169257,0.191549,0.151705,0.190993,0.179555,0.189043,0.154583,0.160559,0.180862,0.186664,0.138293,0.17119,0.163867,0.140369,0.151185
4.19588,0.175703,0.174772,0.168444,0.213001,0.173231,0.190307,0.194468,0.20371,0.165858,0.19487,0.160485,0.15831,0.202472,0.15581,0.168489,0.14501,0.163058,0.165479,0.176139,0.168284,0.18317,0.170584,0.185409,0.172215,0.189581,0.163216,0.16469,0.18631,0.202816,0.153581,0.176697,0.17355,0.14324,0.172577
4.69588,0.19306,0.195199,0.185002,0.205719,0.181865,0.202606,0.208299,0.217333,0.161289,0.18975,0.161518,0.17572,0.222019,0.170168,0.175748,0.158407,0.173853,0.173976,0.187551,0.172127,0.181783,0.188744,0.183809,0.170809,0.191468,0.170868,0.172632,0.197346,0.220731,0.174967,0.190705,0.185977,0.152239,0.192609
5.19588,0.212926,0.217304,0.205744,0.203448,0.189262,0.214678,0.222408,0.22764,0.162986,0.190441,0.174099,0.191466,0.232156,0.184348,0.179602,0.170697,0.18584,0.183651,0.202026,0.180745,0.187373,0.201786,0.185863,0.17213,0.194628,0.176201,0.181575,0.211036,0.232876,0.195693,0.208664,0.197427,0.164182,0.204186
5.69588,0.231099,0.235059,0.228633,0.207153,0.196523,0.22593,0.232919,0.233184,0.171318,0.197163,0.194918,0.202003,0.233474,0.193322,0.180225,0.180328,0.196346,0.194226,0.215849,0.19081,0.197225,0.208381,0.192133,0.175316,0.198577,0.179566,0.192329,0.224588,0.238081,0.209017,0.224128,0.205907,0.176252,0.208452
6.19588,0.242359,0.246385,0.250849,0.214549,0.205499,0.235817,0.239874,0.236843,0.186308,0.208191,0.218461,0.206657,0.230554,0.197133,0.181326,0.188813,0.205671,0.205246,0.226453,0.20123,0.209228,0.209455,0.201038,0.182178,0.20311,0.183143,0.205678,0.235735,0.240639,0.212686,0.231042,0.211624,0.187686,0.211472
6.69588,0.244564,0.253277,0.270833,0.222447,0.216482,0.244478,0.245546,0.242325,0.207839,0.221589,0.238312,0.207928,0.228562,0.20054,0.187115,0.199191,0.2155,0.215394,0.233572,0.213892,0.223294,0.209965,0.211017,0.192937,0.209655,0.188567,0.220385,0.245194,0.247532,0.210709,0.230987,0.217752,0.200272,0.218476
