Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
11.5394,0.429873,0.25913,0.266281,0.270834,0.235273,0.234369,0.24991,0.326003,0.246638,0.265757,0.277985,0.22221,0.235983,0.484132,0.316032,,0.256,0.3357,0.2880,-0.236045048,-0.034,-0.068
12.0394,0.410306,0.25149,0.267623,0.262599,0.234983,0.226554,0.242313,0.32414,0.238143,0.258224,0.276742,0.222311,0.23123,0.471923,0.308625,,0.251,0.3281,0.2818,-0.2381428114,-0.034,-0.067
12.5394,0.389904,0.245719,0.267072,0.25218,0.233447,0.216827,0.234268,0.321881,0.232245,0.247399,0.278094,0.221052,0.228602,0.454423,0.296792,,0.245,0.3188,0.2747,-0.2375491807,-0.033,-0.065
13.0394,0.370537,0.242721,0.265626,0.240168,0.231599,0.2091,0.227286,0.318543,0.22921,0.237425,0.281882,0.218417,0.226536,0.437382,0.283781,,0.241,0.3092,0.2680,-0.2343130313,-0.032,-0.063
13.5394,0.356467,0.242597,0.264263,0.230335,0.229974,0.2062,0.223028,0.316169,0.229128,0.231479,0.288015,0.216677,0.224271,0.42732,0.273132,,0.238,0.3023,0.2639,-0.2291021198,-0.031,-0.060
14.0394,0.350756,0.243851,0.262169,0.225716,0.228696,0.207564,0.221223,0.316786,0.232075,0.230035,0.295066,0.216848,0.221624,0.425444,0.266229,,0.238,0.2996,0.2629,-0.2243591339,-0.030,-0.059
14.5394,0.353091,0.245083,0.259247,0.225706,0.229513,0.210585,0.221246,0.321529,0.237845,0.231498,0.301983,0.219657,0.219301,0.427589,0.263129,,0.240,0.3007,0.2645,-0.222718122,-0.030,-0.059
15.0394,0.362833,0.246488,0.257458,0.227652,0.232847,0.21134,0.221762,0.330349,0.245641,0.234336,0.307424,0.224592,0.218465,0.431515,0.262129,,0.243,0.3050,0.2677,-0.225534336,-0.031,-0.060
15.5394,0.37666,0.248652,0.259922,0.229176,0.238288,0.211871,0.221557,0.342157,0.254212,0.238857,0.310128,0.23182,0.219213,0.438709,0.26191,,0.246,0.3117,0.2722,-0.2319921404,-0.032,-0.063
16.0394,0.388829,0.251802,0.267997,0.230491,0.244533,0.216776,0.221597,0.356134,0.2617,0.245783,0.309907,0.240785,0.222136,0.4532,0.262087,,0.250,0.3205,0.2783,-0.239452147,-0.034,-0.067
16.5394,0.392181,0.253489,0.278516,0.231265,0.247236,0.224917,0.222438,0.369086,0.264718,0.251563,0.3046,0.246705,0.22444,0.474277,0.260932,,0.253,0.3279,0.2831,-0.2467933214,-0.035,-0.070
17.0394,0.385441,0.250419,0.284783,0.230251,0.24418,0.230184,0.224176,0.375447,0.260751,0.250857,0.292658,0.243967,0.222674,0.493424,0.256395,,0.252,0.3296,0.2830,-0.2539612134,-0.036,-0.072
17.5394,0.371345,0.241236,0.280928,0.226085,0.237146,0.225017,0.226016,0.370482,0.250106,0.241673,0.274687,0.229531,0.216016,0.499474,0.247445,,0.245,0.3224,0.2758,-0.2612801978,-0.037,-0.072
