Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
8.90214,0.383336,0.205655,0.244946,0.275582,0.214369,0.247369,0.278484,0.321831,0.207432,0.236904,0.304279,0.238993,0.262658,0.471269,0.26541
9.40214,0.412267,0.217626,0.262219,0.297375,0.23381,0.255076,0.30039,0.336094,0.222811,0.244481,0.319865,0.254783,0.270595,0.48516,0.281542
9.90214,0.440275,0.239314,0.286744,0.327905,0.260173,0.269095,0.323291,0.365735,0.243848,0.265016,0.340613,0.276952,0.277235,0.517331,0.30531
10.4021,0.46878,0.269378,0.317523,0.358792,0.288773,0.292514,0.343359,0.406074,0.267388,0.296401,0.359519,0.303087,0.287659,0.56303,0.336023
10.9021,0.501019,0.300549,0.353942,0.3862,0.314963,0.324439,0.358624,0.442625,0.28715,0.330689,0.373183,0.330469,0.309924,0.607647,0.369488
11.4021,0.544282,0.330092,0.392092,0.410899,0.338233,0.357813,0.373955,0.468077,0.30209,0.36113,0.383899,0.356162,0.345769,0.643051,0.397816
11.9021,0.592814,0.357503,0.427111,0.436108,0.358512,0.386291,0.39394,0.48982,0.315914,0.385754,0.397859,0.376887,0.385995,0.665394,0.415719
12.4021,0.638059,0.381455,0.455613,0.459864,0.375147,0.408302,0.415817,0.513849,0.332867,0.405372,0.417298,0.394127,0.419587,0.679349,0.42513
12.9021,0.674292,0.40308,0.472884,0.474882,0.386494,0.42396,0.436776,0.537479,0.351779,0.420105,0.434049,0.409594,0.443755,0.69194,0.429439
13.4021,0.695554,0.42018,0.476954,0.478108,0.392756,0.434616,0.453951,0.550914,0.366582,0.427857,0.442407,0.419655,0.461256,0.699501,0.429943
13.9021,0.69993,0.427711,0.469319,0.47315,0.396917,0.439968,0.462642,0.548368,0.37357,0.428149,0.442471,0.419708,0.473319,0.695553,0.425154
14.4021,0.693093,0.422673,0.454874,0.46476,0.39997,0.44095,0.460249,0.534098,0.373307,0.422703,0.436439,0.410906,0.478656,0.680655,0.415391
14.9021,0.682801,0.406922,0.439651,0.454937,0.400195,0.438761,0.450308,0.516599,0.369233,0.414958,0.427374,0.399884,0.476685,0.661535,0.404107
15.4021,0.674262,0.386848,0.427719,0.444246,0.396314,0.434512,0.439165,0.501067,0.364825,0.407693,0.417065,0.394231,0.469802,0.645328,0.395911
15.9021,0.669972,0.369037,0.420499,0.432894,0.390328,0.429548,0.432394,0.485986,0.362033,0.400488,0.408729,0.396471,0.46229,0.635842,0.393558
16.4021,0.670402,0.356887,0.416909,0.420955,0.385292,0.424783,0.431018,0.469058,0.361652,0.390858,0.405699,0.401817,0.456819,0.632541,0.395566
16.9021,0.675129,0.350082,0.412668,0.408439,0.380791,0.418828,0.42978,0.45108,0.361813,0.376128,0.405131,0.403161,0.450912,0.629791,0.396895
17.4021,0.677866,0.345415,0.402509,0.394104,0.372447,0.407169,0.420823,0.433288,0.35785,0.354694,0.400286,0.395502,0.440162,0.619268,0.393076
17.9021,0.66618,0.336968,0.381745,0.373021,0.355521,0.385384,0.39984,0.41299,0.344463,0.326342,0.384998,0.375958,0.421494,0.592763,0.382196
18.4021,0.62991,0.316864,0.3482,0.338745,0.327439,0.352031,0.36722,0.38539,0.320015,0.292225,0.356047,0.343722,0.390714,0.547969,0.362179
18.9021,0.568232,0.283536,0.302785,0.288027,0.28898,0.309091,0.325114,0.347977,0.286639,0.254015,0.313162,0.300618,0.346633,0.491784,0.327232
19.4021,0.493504,0.243089,0.250319,0.228057,0.243776,0.261065,0.275855,0.302139,0.247504,0.214656,0.261573,0.251923,0.293532,0.434006,0.27615
19.9021,0.424379,0.203517,0.200327,0.174633,0.196202,0.213,0.222005,0.253985,0.207946,0.178112,0.210366,0.204441,0.240635,0.382429,0.217299
20.4021,0.373584,0.172767,0.160895,0.138639,0.151603,0.172836,0.169321,0.210065,0.174438,0.148599,0.168391,0.164494,0.19877,0.339968,0.163569
20.9021,0.344996,0.152274,0.136125,0.119277,0.11523,0.148111,0.128548,0.174851,0.155022,0.129228,0.140994,0.135647,0.172762,0.306328,0.127419
21.4021,0.333585,0.141248,0.12529,0.109629,0.0902241,0.139734,0.106795,0.152732,0.153789,0.119766,0.12652,0.119481,0.160516,0.282752,0.10965
